From	To	Species	Gene Name
25902	ENSG00000120254	Homo sapiens	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like(MTHFD1L)
92745	ENSG00000017483	Homo sapiens	solute carrier family 38 member 5(SLC38A5)
81849	ENSG00000117069	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)
9187	ENSG00000074621	Homo sapiens	solute carrier family 24 member 1(SLC24A1)
2548	ENSG00000291507	Homo sapiens	alpha glucosidase(GAA)
2548	ENSG00000171298	Homo sapiens	alpha glucosidase(GAA)
4728	ENSG00000110717	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S8(NDUFS8)
4729	ENSG00000178127	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit V2(NDUFV2)
55326	ENSG00000284980	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)
55326	ENSG00000155189	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)
55568	ENSG00000164574	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 10(GALNT10)
121278	ENSG00000139287	Homo sapiens	tryptophan hydroxylase 2(TPH2)
27089	ENSG00000164405	Homo sapiens	ubiquinol-cytochrome c reductase complex III subunit VII(UQCRQ)
2542	ENSG00000137700	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
2542	ENSG00000281500	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
56894	ENSG00000160216	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)
56895	ENSG00000026652	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
4720	ENSG00000158864	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S2(NDUFS2)
3631	ENSG00000040933	Homo sapiens	inositol polyphosphate-4-phosphatase type I A(INPP4A)
3632	ENSG00000068383	Homo sapiens	inositol polyphosphate-5-phosphatase A(INPP5A)
4722	ENSG00000213619	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S3(NDUFS3)
137872	ENSG00000147576	Homo sapiens	alcohol dehydrogenase iron containing 1(ADHFE1)
3633	ENSG00000204084	Homo sapiens	inositol polyphosphate-5-phosphatase B(INPP5B)
4723	ENSG00000167792	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit V1(NDUFV1)
4724	ENSG00000164258	Homo sapiens	NADH:ubiquinone oxidoreductase subunit S4(NDUFS4)
3635	ENSG00000281614	Homo sapiens	inositol polyphosphate-5-phosphatase D(INPP5D)
3635	ENSG00000168918	Homo sapiens	inositol polyphosphate-5-phosphatase D(INPP5D)
4725	ENSG00000168653	Homo sapiens	NADH:ubiquinone oxidoreductase subunit S5(NDUFS5)
4967	ENSG00000105953	Homo sapiens	oxoglutarate dehydrogenase(OGDH)
3636	ENSG00000165458	Homo sapiens	inositol polyphosphate phosphatase like 1(INPPL1)
10654	ENSG00000163344	Homo sapiens	phosphomevalonate kinase(PMVK)
4726	ENSG00000145494	Homo sapiens	NADH:ubiquinone oxidoreductase subunit S6(NDUFS6)
9194	ENSG00000118596	Homo sapiens	solute carrier family 16 member 7(SLC16A7)
9197	ENSG00000169359	Homo sapiens	solute carrier family 33 member 1(SLC33A1)
641649	ENSG00000142046	Homo sapiens	transmembrane protein 91(TMEM91)
6916	ENSG00000059377	Homo sapiens	thromboxane A synthase 1(TBXAS1)
2799	ENSG00000135677	Homo sapiens	glucosamine (N-acetyl)-6-sulfatase(GNS)
1468	ENSG00000183048	Homo sapiens	solute carrier family 25 member 10(SLC25A10)
55577	ENSG00000124357	Homo sapiens	N-acetylglucosamine kinase(NAGK)
4731	ENSG00000160194	Homo sapiens	NADH:ubiquinone oxidoreductase subunit V3(NDUFV3)
5825	ENSG00000117528	Homo sapiens	ATP binding cassette subfamily D member 3(ABCD3)
10423	ENSG00000103502	Homo sapiens	CDP-diacylglycerol--inositol 3-phosphatidyltransferase(CDIPT)
160428	ENSG00000136010	Homo sapiens	aldehyde dehydrogenase 1 family member L2(ALDH1L2)
257068	ENSG00000240891	Homo sapiens	phosphatidylinositol specific phospholipase C X domain containing 2(PLCXD2)
3420	ENSG00000101365	Homo sapiens	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta(IDH3B)
2572	ENSG00000136750	Homo sapiens	glutamate decarboxylase 2(GAD2)
2571	ENSG00000128683	Homo sapiens	glutamate decarboxylase 1(GAD1)
54490	ENSG00000135226	Homo sapiens	UDP glucuronosyltransferase family 2 member B28(UGT2B28)
55586	ENSG00000100253	Homo sapiens	myo-inositol oxygenase(MIOX)
4507	ENSG00000099810	Homo sapiens	methylthioadenosine phosphorylase(MTAP)
3417	ENSG00000138413	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 1(IDH1)
55343	ENSG00000181830	Homo sapiens	solute carrier family 35 member C1(SLC35C1)
114971	ENSG00000110536	Homo sapiens	protein tyrosine phosphatase mitochondrial 1(PTPMT1)
27068	ENSG00000138777	Homo sapiens	inorganic pyrophosphatase 2(PPA2)
5831	ENSG00000183010	Homo sapiens	pyrroline-5-carboxylate reductase 1(PYCR1)
5832	ENSG00000059573	Homo sapiens	aldehyde dehydrogenase 18 family member A1(ALDH18A1)
55349	ENSG00000016391	Homo sapiens	choline dehydrogenase(CHDH)
10870	ENSG00000126264	Homo sapiens	hematopoietic cell signal transducer(HCST)
5833	ENSG00000185813	Homo sapiens	phosphate cytidylyltransferase 2, ethanolamine(PCYT2)
10873	ENSG00000151376	Homo sapiens	malic enzyme 3(ME3)
374291	ENSG00000115286	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S7(NDUFS7)
5834	ENSG00000100994	Homo sapiens	glycogen phosphorylase B(PYGB)
3419	ENSG00000166411	Homo sapiens	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha(IDH3A)
3658	ENSG00000136381	Homo sapiens	iron responsive element binding protein 2(IREB2)
5836	ENSG00000100504	Homo sapiens	glycogen phosphorylase L(PYGL)
10632	ENSG00000167283	Homo sapiens	ATP synthase membrane subunit g(ATP5MG)
